program,filename,k,job_id,State,MaxRSS,Elapsed,MaxDiskWrite,WorkDirSizeKB
kmc_finetuned,chm13_part1_through_10.maf,10,37262852,COMPLETED,696480K,00:03:11,256.27M,464464
kmc_finetuned,chm13_part1_through_10.maf,20,37262894,COMPLETED,1708944K,00:05:13,142004.52M,167765840
kmc_finetuned,chm13_part1_through_10.maf,30,37263108,COMPLETED,699384K,00:05:22,238237.28M,246690864
kmc_finetuned,chm13_part1_through_10.maf,55,37263267,COMPLETED,2527420K,00:05:55,381949.62M,399970280
meryl_default,chm13_part1.maf,10,37263988,COMPLETED,275576K,00:02:49,241.31M,411848
meryl_default,chm13_part1.maf,20,37264134,COMPLETED,376916K,00:02:13,8326.85M,10679352
meryl_default,chm13_part1.maf,30,37264178,COMPLETED,542280K,00:02:28,12043.69M,15874920
meryl_default,chm13_part1.maf,55,37264356,COMPLETED,973560K,00:02:30,25766.49M,28281306
meryl_default,chm13_part1_through_10.maf,10,37264508,COMPLETED,273584K,00:07:13,360.58M,426976
meryl_default,chm13_part1_through_10.maf,20,37264705,COMPLETED,2396568K,00:12:50,117075.20M,119910144
meryl_default,chm13_part1_through_10.maf,30,37265622,COMPLETED,2573180K,00:13:08,173771.17M,184089960
meryl_default,chm13_part1_through_10.maf,55,37266017,COMPLETED,4285780K,00:13:39,320938.19M,339969080
meryl_finetuned,chm13_part1.maf,10,37267042,COMPLETED,403112K,00:01:26,331.32M,411856
meryl_finetuned,chm13_part1.maf,20,37267112,COMPLETED,792740K,00:02:04,8906.32M,10679360
meryl_finetuned,chm13_part1.maf,30,37267241,COMPLETED,996980K,00:02:04,13077.39M,15874928
meryl_finetuned,chm13_part1.maf,55,37267367,COMPLETED,537468K,00:02:06,23007.80M,28281314
meryl_finetuned,chm13_part1_through_10.maf,10,37267489,COMPLETED,859100K,00:07:11,360.58M,426976
meryl_finetuned,chm13_part1_through_10.maf,20,37267839,COMPLETED,1776720K,00:13:18,111875.89M,119910144
meryl_finetuned,chm13_part1_through_10.maf,30,37268747,COMPLETED,2568760K,00:13:30,175769.55M,184089960
meryl_finetuned,chm13_part1_through_10.maf,55,37269682,COMPLETED,4282524K,00:14:11,320938.18M,339969080
